Mod:Item:MetaData, Localized Name
forestry:fence.gates.citrus:0, Citrus Fence Gate
forestry:fence.gates.fireproof.citrus:0, Citrus Fence Gate (Fireproof)
forestry:fence.gates.giganteum:0, Giant Sequoia Fence Gate
forestry:fence.gates.fireproof.giganteum:0, Giant Sequoia Fence Gate (Fireproof)
forestry:fence.gates.ipe:0, Ipe Fence Gate
forestry:fence.gates.fireproof.ipe:0, Ipe Fence Gate (Fireproof)
forestry:fence.gates.padauk:0, Padauk Fence Gate
forestry:fence.gates.fireproof.padauk:0, Padauk Fence Gate (Fireproof)
forestry:fence.gates.cocobolo:0, Cocobolo Fence Gate
forestry:fence.gates.fireproof.cocobolo:0, Cocobolo Fence Gate (Fireproof)
forestry:fence.gates.zebrawood:0, Zebrawood Fence Gate
forestry:fence.gates.fireproof.zebrawood:0, Zebrawood Fence Gate (Fireproof)
forestry:fence.gates.vanilla.fireproof.oak:0, Oak Fence Gate (Fireproof)
forestry:fence.gates.vanilla.fireproof.spruce:0, Spruce Fence Gate (Fireproof)
forestry:fence.gates.vanilla.fireproof.birch:0, Birch Fence Gate (Fireproof)
forestry:fence.gates.vanilla.fireproof.jungle:0, Jungle Fence Gate (Fireproof)
forestry:fence.gates.vanilla.fireproof.acacia:0, Acacia Fence Gate (Fireproof)
forestry:fence.gates.vanilla.fireproof.dark_oak:0, Dark Oak Fence Gate (Fireproof)
forestry:stairs.larch:0, Larch Stairs
forestry:stairs.teak:0, Teak Stairs
forestry:stairs.acacia:0, Desert Acacia Stairs
forestry:stairs.lime:0, Lime Stairs
forestry:stairs.chestnut:0, Chestnut Stairs
forestry:stairs.wenge:0, Wenge Stairs
forestry:stairs.baobab:0, Baobab Stairs
forestry:stairs.sequoia:0, Sequoia Stairs
forestry:stairs.kapok:0, Kapok Stairs
forestry:stairs.ebony:0, Ebony Stairs
forestry:stairs.mahogany:0, Mahogany Stairs
forestry:stairs.balsa:0, Balsa Stairs
forestry:stairs.willow:0, Willow Stairs
forestry:stairs.walnut:0, Walnut Stairs
forestry:stairs.greenheart:0, Greenheart Stairs
forestry:stairs.cherry:0, Cherry Stairs
forestry:stairs.mahoe:0, Mahoe Stairs
forestry:stairs.poplar:0, Poplar Stairs
forestry:stairs.palm:0, Palm Stairs
forestry:stairs.papaya:0, Papaya Stairs
forestry:stairs.pine:0, Pine Stairs
forestry:stairs.plum:0, Plum Stairs
forestry:stairs.maple:0, Maple Stairs
forestry:stairs.citrus:0, Citrus Stairs
forestry:stairs.giganteum:0, Giant Sequoia Stairs
forestry:stairs.ipe:0, Ipe Stairs
forestry:stairs.padauk:0, Padauk Stairs
forestry:stairs.cocobolo:0, Cocobolo Stairs
forestry:stairs.zebrawood:0, Zebrawood Stairs
forestry:stairs.fireproof.larch:0, Larch Stairs (Fireproof)
forestry:stairs.fireproof.teak:0, Teak Stairs (Fireproof)
forestry:stairs.fireproof.acacia:0, Desert Acacia Stairs (Fireproof)
forestry:stairs.fireproof.lime:0, Lime Stairs (Fireproof)
forestry:stairs.fireproof.chestnut:0, Chestnut Stairs (Fireproof)
forestry:stairs.fireproof.wenge:0, Wenge Stairs (Fireproof)
forestry:stairs.fireproof.baobab:0, Baobab Stairs (Fireproof)
forestry:stairs.fireproof.sequoia:0, Sequoia Stairs (Fireproof)
forestry:stairs.fireproof.kapok:0, Kapok Stairs (Fireproof)
forestry:stairs.fireproof.ebony:0, Ebony Stairs (Fireproof)
forestry:stairs.fireproof.mahogany:0, Mahogany Stairs (Fireproof)
forestry:stairs.fireproof.balsa:0, Balsa Stairs (Fireproof)
forestry:stairs.fireproof.willow:0, Willow Stairs (Fireproof)
forestry:stairs.fireproof.walnut:0, Walnut Stairs (Fireproof)
forestry:stairs.fireproof.greenheart:0, Greenheart Stairs (Fireproof)
forestry:stairs.fireproof.cherry:0, Cherry Stairs (Fireproof)
forestry:stairs.fireproof.mahoe:0, Mahoe Stairs (Fireproof)
forestry:stairs.fireproof.poplar:0, Poplar Stairs (Fireproof)
forestry:stairs.fireproof.palm:0, Palm Stairs (Fireproof)
forestry:stairs.fireproof.papaya:0, Papaya Stairs (Fireproof)
forestry:stairs.fireproof.pine:0, Pine Stairs (Fireproof)
forestry:stairs.fireproof.plum:0, Plum Stairs (Fireproof)
forestry:stairs.fireproof.maple:0, Maple Stairs (Fireproof)
forestry:stairs.fireproof.citrus:0, Citrus Stairs (Fireproof)
forestry:stairs.fireproof.giganteum:0, Giant Sequoia Stairs (Fireproof)
forestry:stairs.fireproof.ipe:0, Ipe Stairs (Fireproof)
forestry:stairs.fireproof.padauk:0, Padauk Stairs (Fireproof)
forestry:stairs.fireproof.cocobolo:0, Cocobolo Stairs (Fireproof)
forestry:stairs.fireproof.zebrawood:0, Zebrawood Stairs (Fireproof)
forestry:stairs.vanilla.fireproof.oak:0, Oak Wood Stairs (Fireproof)
forestry:stairs.vanilla.fireproof.spruce:0, Spruce Wood Stairs (Fireproof)
forestry:stairs.vanilla.fireproof.birch:0, Birch Wood Stairs (Fireproof)
forestry:stairs.vanilla.fireproof.jungle:0, Jungle Wood Stairs (Fireproof)
forestry:stairs.vanilla.fireproof.acacia:0, Acacia Wood Stairs (Fireproof)
forestry:stairs.vanilla.fireproof.dark_oak:0, Dark Oak Wood Stairs (Fireproof)
forestry:doors.larch:0, Larch Door
forestry:doors.teak:0, Teak Door
forestry:doors.acacia:0, Desert Acacia Door
forestry:doors.lime:0, Lime Door
forestry:doors.chestnut:0, Chestnut Door
forestry:doors.wenge:0, Wenge Door
forestry:doors.baobab:0, Baobab Door
forestry:doors.sequoia:0, Sequoia Door
forestry:doors.kapok:0, Kapok Door
forestry:doors.ebony:0, Ebony Door
forestry:doors.mahogany:0, Mahogany Door
forestry:doors.balsa:0, Balsa Door
forestry:doors.willow:0, Willow Door
forestry:doors.walnut:0, Walnut Door
forestry:doors.greenheart:0, Greenheart Door
forestry:doors.cherry:0, Cherry Door
forestry:doors.mahoe:0, Mahoe Door
forestry:doors.poplar:0, Poplar Door
forestry:doors.palm:0, Palm Door
forestry:doors.papaya:0, Papaya Door
forestry:doors.pine:0, Pine Door
forestry:doors.plum:0, Plum Door
forestry:doors.maple:0, Maple Door
forestry:doors.citrus:0, Citrus Door
forestry:doors.giganteum:0, Giant Sequoia Door
forestry:doors.ipe:0, Ipe Door
forestry:doors.padauk:0, Padauk Door
forestry:doors.cocobolo:0, Cocobolo Door
forestry:doors.zebrawood:0, Zebrawood Door
forestry:sapling_ge:0, tile.for.sapling_ge.name
forestry:leaves.decorative.0:0, Apple Oak Leaves
forestry:leaves.decorative.0:1, Dark Oak Leaves
forestry:leaves.decorative.0:2, Silver Birch Leaves
forestry:leaves.decorative.0:3, Silver Lime Leaves
forestry:leaves.decorative.0:4, Common Walnut Leaves
forestry:leaves.decorative.0:5, Sweet Chestnut Leaves
forestry:leaves.decorative.0:6, Hill Cherry Leaves
forestry:leaves.decorative.0:7, Lemon Leaves
forestry:leaves.decorative.0:8, Plum Leaves
forestry:leaves.decorative.0:9, Sugar Maple Leaves
forestry:leaves.decorative.0:10, Red Spruce Leaves
forestry:leaves.decorative.0:11, Mundane Larch Leaves
forestry:leaves.decorative.0:12, Bull Pine Leaves
forestry:leaves.decorative.0:13, Coast Sequoia Leaves
forestry:leaves.decorative.0:14, Giant Sequoia Leaves
forestry:leaves.decorative.0:15, Jungle Leaves
forestry:leaves.decorative.1:0, Teak Leaves
forestry:leaves.decorative.1:1, Ipe Leaves
forestry:leaves.decorative.1:2, Kapok Leaves
forestry:leaves.decorative.1:3, Myrtle Ebony Leaves
forestry:leaves.decorative.1:4, Zebrawood Leaves
forestry:leaves.decorative.1:5, Yellow Meranti Leaves
forestry:leaves.decorative.1:6, Acacia Leaves
forestry:leaves.decorative.1:7, Desert Acacia Leaves
forestry:leaves.decorative.1:8, Padauk Leaves
forestry:leaves.decorative.1:9, Balsa Leaves
forestry:leaves.decorative.1:10, Cocobolo Leaves
forestry:leaves.decorative.1:11, Wenge Leaves
forestry:leaves.decorative.1:12, Grandidier's Baobab Leaves
forestry:leaves.decorative.1:13, Blue Mahoe Leaves
forestry:leaves.decorative.1:14, White Willow Leaves
forestry:leaves.decorative.1:15, Sipiri Leaves
forestry:leaves.decorative.2:0, Papaya Leaves
forestry:leaves.decorative.2:1, Date Palm Leaves
forestry:leaves.decorative.2:2, White Poplar Leaves
forestry:tree_chest:0, Arborist's Chest
forestry:engine_peat:0, Peat-fired Engine
forestry:engine_biogas:0, Biogas Engine
forestry:engine_clockwork:0, Clockwork Engine
forestry:butterfly_chest:0, Lepidopterist's Chest
forestry:cocoon:0, tile.for.cocoon.name
forestry:cocoon.solid:0, tile.for.cocoon.solid.name
forestry:crate, Crate
forestry:bottler:0, Bottler
forestry:carpenter:0, Carpenter
forestry:centrifuge:0, Centrifuge
forestry:fermenter:0, Fermenter
forestry:moistener:0, Moistener
forestry:squeezer:0, Squeezer
forestry:still:0, Still
forestry:rainmaker:0, Rainmaker
forestry:fabricator:0, Thermionic Fabricator
forestry:raintank:0, Rain Tank
forestry:book_forester, Forester's Manual
forestry:charcoal:0, Block of Charcoal
forestry:wood_pile:0, Wood Pile
forestry:wood_pile_decorative:0, Decorative Wood Pile
forestry:ash_block_0:0, Ash Block
forestry:ash_block_1:0, Ash Block
forestry:ash_block_2:0, Ash Block
forestry:ash_block_3:0, Ash Block
forestry:loam:0, Loam
forestry:greenhouse:0, Greenhouse Block
forestry:greenhouse:3, Greenhouse Energy Distributor
forestry:greenhouse:4, Greenhouse Control
forestry:greenhouse:5, Greenhouse Screen
forestry:climatiser:0, Greenhouse Hygroregulator
forestry:climatiser:1, Greenhouse Heater
forestry:climatiser:2, Greenhouse Fan
forestry:climatiser:3, Greenhouse Humidifier
forestry:climatiser:4, Greenhouse Dehumidifier
forestry:greenhouse.window:0, Greenhouse Window
forestry:greenhouse.window_up:0, Greenhouse Roof Window
forestry:honeyed_slice, Honeyed Slice
forestry:ambrosia, Ambrosia
forestry:honey_pot, Honey Pot
forestry:database:0, Database
forestry:fluid.bio.ethanol, Ethanol
forestry:fluid.biomass, Biomass
forestry:fluid.glass, Liquid Glass
forestry:fluid.for.honey, Honey
forestry:fluid.ice, Crushed Ice
forestry:fluid.juice, Fruit Juice
forestry:fluid.milk, Milk
forestry:fluid.seed.oil, Seed Oil
forestry:fluid.short.mead, Short Mead
forestry:can, item.for.can.name
forestry:capsule, item.for.capsule.name
forestry:refractory, item.for.refractory.name
forestry:habitat_locator, Habitat Locator
forestry:imprinter, Imprinter
forestry:cart.beehouse:0, Minecart with Bee House
forestry:cart.beehouse:1, Minecart with Apiary
forestry:frame_untreated, Untreated Frame
forestry:frame_impregnated, Impregnated Frame
forestry:frame_proven, Proven Frame
forestry:honey_drop:0, Honey Drop
forestry:pollen:0, Pollen Cluster
forestry:pollen:1, Crystalline Pollen Cluster
forestry:propolis:0, Propolis
forestry:propolis:1, Sticky Propolis
forestry:propolis:3, Silky Propolis
forestry:honeydew, Honeydew
forestry:royal_jelly, Royal Jelly
forestry:wax_cast, Wax Cast
forestry:bee_combs:0, Honey Comb
forestry:bee_combs:2, Simmering Comb
forestry:bee_combs:3, Stringy Comb
forestry:bee_combs:4, Frozen Comb
forestry:bee_combs:5, Dripping Comb
forestry:bee_combs:6, Silky Comb
forestry:bee_combs:7, Parched Comb
forestry:bee_combs:15, Mossy Comb
forestry:bee_combs:16, Mellow Comb
forestry:apiarist_helmet, Apiarist's Hat
forestry:apiarist_chest, Apiarist's Shirt
forestry:apiarist_legs, Apiarist's Pants
forestry:apiarist_boots, Apiarist's Shoes
forestry:scoop, Scoop
forestry:smoker, Bee Smoker
forestry:apiary:0, Apiary
forestry:bee_house:0, Bee House
forestry:bee_chest:0, Apiarist's Chest
forestry:beehives:0, Forest Hive
forestry:beehives:1, Meadows Hive
forestry:beehives:2, Modest Hive
forestry:beehives:3, Tropical Hive
forestry:beehives:4, Ender Hive
forestry:beehives:5, Wintry Hive
forestry:beehives:6, Marshy Hive
forestry:candle:0, Unlit Candle
forestry:stump:0, Candle Stump
forestry:bee_combs_0:0, Honey Comb Block
forestry:bee_combs_0:2, Simmering Comb Block
forestry:bee_combs_0:3, Stringy Comb Block
forestry:bee_combs_0:4, Frozen Comb Block
forestry:bee_combs_0:5, Dripping Comb Block
forestry:bee_combs_0:6, Silky Comb Block
forestry:bee_combs_0:7, Parched Comb Block
forestry:bee_combs_0:15, Mossy Comb Block
forestry:bee_combs_1:0, Mellow Comb Block
forestry:alveary.plain:0, Alveary
forestry:alveary.swarmer:0, Alveary Swarmer
forestry:alveary.fan:0, Alveary Fan
forestry:alveary.heater:0, Alveary Heater
forestry:alveary.hygro:0, Alveary Hygroregulator
forestry:alveary.stabiliser:0, Alveary Stabiliser
forestry:alveary.sieve:0, Alveary Sieve
forestry:genetic_filter:0, Genetic Filter
forestry:mushroom:0, tile.for.mushroom.name
forestry:mushroom:1, tile.for.mushroom.name
forestry:ffarm:0, Farm Block
forestry:ffarm:0, Farm Block
forestry:ffarm:0, Farm Block
forestry:ffarm:0, Farm Block
forestry:ffarm:0, Farm Block
forestry:ffarm:0, Farm Block
forestry:ffarm:0, Farm Block
forestry:ffarm:0, Farm Block
forestry:ffarm:0, Farm Block
forestry:ffarm:0, Farm Block
forestry:ffarm:0, Farm Block
forestry:ffarm:2, Farm Gearbox
forestry:ffarm:2, Farm Gearbox
forestry:ffarm:2, Farm Gearbox
forestry:ffarm:2, Farm Gearbox
forestry:ffarm:2, Farm Gearbox
forestry:ffarm:2, Farm Gearbox
forestry:ffarm:2, Farm Gearbox
forestry:ffarm:2, Farm Gearbox
forestry:ffarm:2, Farm Gearbox
forestry:ffarm:2, Farm Gearbox
forestry:ffarm:2, Farm Gearbox
forestry:ffarm:3, Farm Hatch
forestry:ffarm:3, Farm Hatch
forestry:ffarm:3, Farm Hatch
forestry:ffarm:3, Farm Hatch
forestry:ffarm:3, Farm Hatch
forestry:ffarm:3, Farm Hatch
forestry:ffarm:3, Farm Hatch
forestry:ffarm:3, Farm Hatch
forestry:ffarm:3, Farm Hatch
forestry:ffarm:3, Farm Hatch
forestry:ffarm:3, Farm Hatch
forestry:ffarm:4, Farm Valve
forestry:ffarm:4, Farm Valve
forestry:ffarm:4, Farm Valve
forestry:ffarm:4, Farm Valve
forestry:ffarm:4, Farm Valve
forestry:ffarm:4, Farm Valve
forestry:ffarm:4, Farm Valve
forestry:ffarm:4, Farm Valve
forestry:ffarm:4, Farm Valve
forestry:ffarm:4, Farm Valve
forestry:ffarm:4, Farm Valve
forestry:ffarm:5, Farm Control
forestry:ffarm:5, Farm Control
forestry:ffarm:5, Farm Control
forestry:ffarm:5, Farm Control
forestry:ffarm:5, Farm Control
forestry:ffarm:5, Farm Control
forestry:ffarm:5, Farm Control
forestry:ffarm:5, Farm Control
forestry:ffarm:5, Farm Control
forestry:ffarm:5, Farm Control
forestry:ffarm:5, Farm Control
forestry:arboretum:0, Arboretum (Managed)
forestry:arboretum:1, Arboretum (Manual)
forestry:farm_crops:0, Farm (Managed)
forestry:farm_crops:1, Farm (Manual)
forestry:farm_mushroom:0, Mushroom Farm (Managed)
forestry:farm_mushroom:1, Mushroom Farm (Manual)
forestry:farm_gourd:0, Gourd Farm (Managed)
forestry:farm_gourd:1, Gourd Farm (Manual)
forestry:farm_nether:0, Infernal Farm (Managed)
forestry:farm_nether:1, Infernal Farm (Manual)
forestry:farm_ender:0, Ender Farm (Managed)
forestry:farm_ender:1, Ender Farm (Manual)
forestry:peat_bog:0, Peat Bog (Managed)
forestry:peat_bog:1, Peat Bog (Manual)
forestry:habitat_former:0, Habitat Former
forestry:habitat_screen, Habitat Screen
binniecore:glass:0, Empty Bottle
binniecore:glass:1, Apple Juice Bottle
binniecore:glass:1, Apricot Juice Bottle
binniecore:glass:1, Banana Juice Bottle
binniecore:glass:1, Cherry Juice Bottle
binniecore:glass:1, Elderberry Juice Bottle
binniecore:glass:1, Lemon Juice Bottle
binniecore:glass:1, Lime Juice Bottle
binniecore:glass:1, Orange Juice Bottle
binniecore:glass:1, Peach Juice Bottle
binniecore:glass:1, Plum Juice Bottle
binniecore:glass:1, Carrot Juice Bottle
binniecore:glass:1, Tomato Juice Bottle
binniecore:glass:1, Cranberry Juice Bottle
binniecore:glass:1, Grapefruit Juice Bottle
binniecore:glass:1, Olive Oil Bottle
binniecore:glass:1, Pineapple Juice Bottle
binniecore:glass:1, Pear Juice Bottle
binniecore:glass:1, White Grape Juice Bottle
binniecore:glass:1, Red Grape Juice Bottle
binniecore:glass:1, Cider Bottle
binniecore:glass:1, Apricot Wine Bottle
binniecore:glass:1, Banana Wine Bottle
binniecore:glass:1, Cherry Wine Bottle
binniecore:glass:1, Elderberry Wine Bottle
binniecore:glass:1, Peach Cider Bottle
binniecore:glass:1, Pear Cider Bottle
binniecore:glass:1, Plum Wine Bottle
binniecore:glass:1, Carrot Wine Bottle
binniecore:glass:1, White Wine Bottle
binniecore:glass:1, Red Wine Bottle
binniecore:glass:1, Sparkling Wine Bottle
binniecore:glass:1, Agave Wine Bottle
binniecore:glass:1, Fermented Potatoes Bottle
binniecore:glass:1, Citrus Wine Bottle
binniecore:glass:1, Cranberry Wine Bottle
binniecore:glass:1, Pineapple Wine Bottle
binniecore:glass:1, Tomato Wine Bottle
binniecore:glass:1, Fruit Wine Bottle
binniecore:glass:1, Ale Bottle
binniecore:glass:1, Lager Bottle
binniecore:glass:1, Wheat Beer Bottle
binniecore:glass:1, Rye Beer Bottle
binniecore:glass:1, Corn Beer Bottle
binniecore:glass:1, Stout Bottle
binniecore:glass:1, Fermented Grain Mash Bottle
binniecore:glass:1, Fermented Wheat Mash Bottle
binniecore:glass:1, Fermented Rye Mash Bottle
binniecore:glass:1, Fermented Corn Mash Bottle
binniecore:glass:1, Neutral Spirit Bottle
binniecore:glass:1, Vodka Bottle
binniecore:glass:1, White Rum Bottle
binniecore:glass:1, Dark Rum Bottle
binniecore:glass:1, Whiskey Bottle
binniecore:glass:1, Bourbon Bottle
binniecore:glass:1, Rye Whiskey Bottle
binniecore:glass:1, Wheat Whiskey Bottle
binniecore:glass:1, Fortified Wine Bottle
binniecore:glass:1, Tequila Bottle
binniecore:glass:1, Brandy Bottle
binniecore:glass:1, Apple Brandy Bottle
binniecore:glass:1, Pear Brandy Bottle
binniecore:glass:1, Apricot Brandy Bottle
binniecore:glass:1, Plum Brandy Bottle
binniecore:glass:1, Cherry Brandy Bottle
binniecore:glass:1, Elderberry Brandy Bottle
binniecore:glass:1, Citrus Brandy Bottle
binniecore:glass:1, Fruit Brandy Bottle
binniecore:glass:1, Cachaca Bottle
binniecore:glass:1, Gin Bottle
binniecore:glass:1, Apple Liquor Bottle
binniecore:glass:1, Pear Liquor Bottle
binniecore:glass:1, Cherry Liquor Bottle
binniecore:glass:1, Elderberry Liquor Bottle
binniecore:glass:1, Apricot Liquor Bottle
binniecore:glass:1, Fruit Liquor Bottle
binniecore:glass:1, Almond Liqueur Bottle
binniecore:glass:1, Orange Liqueur Bottle
binniecore:glass:1, Banana Liqueur Bottle
binniecore:glass:1, Chocolate Liqueur Bottle
binniecore:glass:1, Mint Liqueur Bottle
binniecore:glass:1, Hazelnut Liqueur Bottle
binniecore:glass:1, Cinnamon Liqueur Bottle
binniecore:glass:1, Coffee Liqueur Bottle
binniecore:glass:1, Melon Liqueur Bottle
binniecore:glass:1, Anise Liqueur Bottle
binniecore:glass:1, Peach Liqueur Bottle
binniecore:glass:1, Lemon Liqueur Bottle
binniecore:glass:1, Herbal Liqueur Bottle
binniecore:glass:1, Cherry Liqueur Bottle
binniecore:glass:1, Blackcurrant Liqueur Bottle
binniecore:glass:1, Blackberry Liqueur Bottle
binniecore:glass:1, Raspberry Liqueur Bottle
binniecore:cylinder:0, Empty Cylinder
binniecore:cylinder:1, Growth Medium Cylinder
binniecore:cylinder:1, Bacteria Cylinder
binniecore:cylinder:1, Polymerising Bacteria Cylinder
binniecore:cylinder:1, Raw DNA Cylinder
binniecore:cylinder:1, Bacteria Vector Cylinder
binniecore:storage:0, Compartment
binniecore:storage:1, Copper Compartment
binniecore:storage:2, Bronze Compartment
binniecore:storage:3, Iron Compartment
binniecore:storage:4, Gold Compartment
binniecore:storage:5, Diamond Compartment
binniecore:field_kit, item.field_kit.name
binniecore:genesis, item.genesis.name
genetics:punnett_square, item.punnett_square.name
genetics:serum, item.serum.name
genetics:serum_array, item.serum_array.name
genetics:geneticdatabase:0, Gene Database
genetics:geneticdatabase:1, Master Gene Database
genetics:analyst, item.analyst.name
genetics:registry, item.registry.name
genetics:master_registry, item.master_registry.name
genetics:misc:0, Reinforced Casing
genetics:misc:1, DNA Dye
genetics:misc:2, Fluorescent Dye
genetics:misc:3, Enzyme
genetics:misc:4, Growth Medium
genetics:misc:5, Blank Sequence
genetics:misc:6, Empty Serum Vial
genetics:misc:7, Empty Serum Array
genetics:misc:8, Integrated Circuit Board
genetics:misc:9, Integrated CPU
genetics:misc:10, Integrated Casing
genetics:sequence, item.sequence.name
genetics:binnie.growth.medium, tile.genetics.fluid.geneticliquid.growthmedium.name
genetics:binnie.bacteria, tile.genetics.fluid.geneticliquid.bacteria.name
genetics:binnie.bacteria.poly, tile.genetics.fluid.geneticliquid.bacteriapoly.name
genetics:binnie.dna.raw, tile.genetics.fluid.geneticliquid.rawdna.name
genetics:binnie.bacteria.vector, tile.genetics.fluid.geneticliquid.bacteriavector.name
genetics:machine:0, Isolator
genetics:machine:1, Sequencer
genetics:machine:2, Polymeriser
genetics:machine:3, Inoculator
genetics:lab_machine:0, Lab Stand
genetics:lab_machine:1, Analyzer
genetics:lab_machine:2, Incubator
genetics:lab_machine:3, Genepool
genetics:lab_machine:4, Acclimatiser
genetics:adv_machine:0, Splicer
botany:machine:0, Tileworker
botany:ceramic:0, Aquamarine Ceramic Block
botany:ceramic:1, Black Ceramic Block
botany:ceramic:2, Deep Blue Ceramic Block
botany:ceramic:3, Red-Brown Ceramic Block
botany:ceramic:4, Dull Blue Ceramic Block
botany:ceramic:5, Light Brown Ceramic Block
botany:ceramic:6, Coral Ceramic Block
botany:ceramic:7, Crimson Ceramic Block
botany:ceramic:8, Cyan Ceramic Block
botany:ceramic:9, Dark Bronze Ceramic Block
botany:ceramic:10, Gray Ceramic Block
botany:ceramic:11, Dark Green Ceramic Block
botany:ceramic:12, Dark Beige Ceramic Block
botany:ceramic:13, Dark Olive Ceramic Block
botany:ceramic:14, Red-Orange Ceramic Block
botany:ceramic:15, Dark Salmon Ceramic Block
botany:ceramic:16, Dull Green Ceramic Block
botany:ceramic:17, Dark Slate Ceramic Block
botany:ceramic:18, Dark Teal Ceramic Block
botany:ceramic:19, Turquoise Ceramic Block
botany:ceramic:20, Purple Ceramic Block
botany:ceramic:21, Deep Pink Ceramic Block
botany:ceramic:22, Light Blue Ceramic Block
botany:ceramic:23, Dark Gray Ceramic Block
botany:ceramic:24, Blue Ceramic Block
botany:ceramic:25, Gold Ceramic Block
botany:ceramic:26, Bronze Ceramic Block
botany:ceramic:27, Dim Gray Ceramic Block
botany:ceramic:28, Green Ceramic Block
botany:ceramic:29, Pink Ceramic Block
botany:ceramic:30, Brick Red Ceramic Block
botany:ceramic:31, Indigo Ceramic Block
botany:ceramic:32, Beige Ceramic Block
botany:ceramic:33, Alice Blue Ceramic Block
botany:ceramic:34, Pale Yellow Ceramic Block
botany:ceramic:35, Light Gray Ceramic Block
botany:ceramic:36, Dark Turquoise Ceramic Block
botany:ceramic:37, Pale Blue Ceramic Block
botany:ceramic:38, Lime Ceramic Block
botany:ceramic:39, Light Green Ceramic Block
botany:ceramic:40, Magenta Ceramic Block
botany:ceramic:41, Maroon Ceramic Block
botany:ceramic:42, Light Mint Ceramic Block
botany:ceramic:43, Light Purple Ceramic Block
botany:ceramic:44, Light Slate Ceramic Block
botany:ceramic:45, Mint Ceramic Block
botany:ceramic:46, Purple-Red Ceramic Block
botany:ceramic:47, Pale Rose Ceramic Block
botany:ceramic:48, Navy Ceramic Block
botany:ceramic:49, Dark Yellow Ceramic Block
botany:ceramic:50, Olive Ceramic Block
botany:ceramic:51, Orange Ceramic Block
botany:ceramic:52, Pale Green Ceramic Block
botany:ceramic:53, Pale Turquoise Ceramic Block
botany:ceramic:54, Dull Pink Ceramic Block
botany:ceramic:55, Tan Ceramic Block
botany:ceramic:56, Pale Pink Ceramic Block
botany:ceramic:57, Light Mauve Ceramic Block
botany:ceramic:58, Dark Purple Ceramic Block
botany:ceramic:59, Red Ceramic Block
botany:ceramic:60, Dull Red Ceramic Block
botany:ceramic:61, Royal Blue Ceramic Block
botany:ceramic:62, Salmon Ceramic Block
botany:ceramic:63, Pale Brown Ceramic Block
botany:ceramic:64, Dark Mint Ceramic Block
botany:ceramic:65, Brown Ceramic Block
botany:ceramic:66, Sky Blue Ceramic Block
botany:ceramic:67, Slate Blue Ceramic Block
botany:ceramic:68, Slate Ceramic Block
botany:ceramic:69, Spring Green Ceramic Block
botany:ceramic:70, Steel Blue Ceramic Block
botany:ceramic:71, Pale Tan Ceramic Block
botany:ceramic:72, Teal Ceramic Block
botany:ceramic:73, Pale Purple Ceramic Block
botany:ceramic:74, Light Turquoise Ceramic Block
botany:ceramic:75, Mauve Ceramic Block
botany:ceramic:76, Pale Orange Ceramic Block
botany:ceramic:77, White Ceramic Block
botany:ceramic:78, Yellow Ceramic Block
botany:ceramic:79, Yellow-Green Ceramic Block
botany:stained, tile.null.name
botany:ceramicpattern, tile.null.name
botany:ceramicbrick:0, Aquamarine Ceramic Tile
botany:ceramicbrick:0, Black Ceramic Tile
botany:ceramicbrick:0, Deep Blue Ceramic Tile
botany:ceramicbrick:0, Red-Brown Ceramic Tile
botany:ceramicbrick:0, Dull Blue Ceramic Tile
botany:ceramicbrick:0, Light Brown Ceramic Tile
botany:ceramicbrick:0, Coral Ceramic Tile
botany:ceramicbrick:0, Crimson Ceramic Tile
botany:ceramicbrick:0, Cyan Ceramic Tile
botany:ceramicbrick:0, Dark Bronze Ceramic Tile
botany:ceramicbrick:0, Gray Ceramic Tile
botany:ceramicbrick:0, Dark Green Ceramic Tile
botany:ceramicbrick:0, Dark Beige Ceramic Tile
botany:ceramicbrick:0, Dark Olive Ceramic Tile
botany:ceramicbrick:0, Red-Orange Ceramic Tile
botany:ceramicbrick:0, Dark Salmon Ceramic Tile
botany:ceramicbrick:0, Dull Green Ceramic Tile
botany:ceramicbrick:0, Dark Slate Ceramic Tile
botany:ceramicbrick:0, Dark Teal Ceramic Tile
botany:ceramicbrick:0, Turquoise Ceramic Tile
botany:ceramicbrick:0, Purple Ceramic Tile
botany:ceramicbrick:0, Deep Pink Ceramic Tile
botany:ceramicbrick:0, Light Blue Ceramic Tile
botany:ceramicbrick:0, Dark Gray Ceramic Tile
botany:ceramicbrick:0, Blue Ceramic Tile
botany:ceramicbrick:0, Gold Ceramic Tile
botany:ceramicbrick:0, Bronze Ceramic Tile
botany:ceramicbrick:0, Dim Gray Ceramic Tile
botany:ceramicbrick:0, Green Ceramic Tile
botany:ceramicbrick:0, Pink Ceramic Tile
botany:ceramicbrick:0, Brick Red Ceramic Tile
botany:ceramicbrick:0, Indigo Ceramic Tile
botany:ceramicbrick:0, Beige Ceramic Tile
botany:ceramicbrick:0, Alice Blue Ceramic Tile
botany:ceramicbrick:0, Pale Yellow Ceramic Tile
botany:ceramicbrick:0, Light Gray Ceramic Tile
botany:ceramicbrick:0, Dark Turquoise Ceramic Tile
botany:ceramicbrick:0, Pale Blue Ceramic Tile
botany:ceramicbrick:0, Lime Ceramic Tile
botany:ceramicbrick:0, Light Green Ceramic Tile
botany:ceramicbrick:0, Magenta Ceramic Tile
botany:ceramicbrick:0, Maroon Ceramic Tile
